id,type,code,latin,persian,description,parent_id,is_active,is_default
a7be017d-c7b1-4570-9f41-f4d166d7c254,ENUM_TYPE,ENUM_OWNER_SYSTEM,Owner System,سیستم مالک,Parent category for سیستم مالک,,true,false
218ebfaa-4e87-4d24-9da9-29727a9fa73d,ENUM_TYPE,TMS,Transaction Commission Management,سامانه مدیریت کمیسیون معاملات,,d9e4548a-0ed3-4407-b634-d581347bd3a0,true,false
628897a0-1afa-4ec4-a85f-8b9c7cb17441,ENUM_TYPE,CMS,Contract Management System,سامانه مدیریت قراردادها,,d9e4548a-0ed3-4407-b634-d581347bd3a0,true,false
64d116ec-6b7c-4b36-8bfb-32b98ed3a83a,ENUM_TYPE,PMS,Project Management System,سامانه مدیریت پروژه,,d9e4548a-0ed3-4407-b634-d581347bd3a0,true,false
958e2af9-37a1-4f6a-93ba-bd6d70229c89,ENUM_TYPE,SMS,Subsidiary Management System,سامانه مدیریت شرکت‌های تابعه,,d9e4548a-0ed3-4407-b634-d581347bd3a0,true,false
75ccce87-da20-4134-bf4b-2f9122d1652b,ENUM_TYPE,AVM,Approved Vendor List Management,سامانه مدیریت سازندگان مجاز AVL,,d9e4548a-0ed3-4407-b634-d581347bd3a0,true,false
ebdb846e-6ef8-444b-8ccb-8c06e75f7861,ENUM_TYPE,SHM,Stakeholder Management System,سامانه مدیریت شرکت‌های ذینفع,,d9e4548a-0ed3-4407-b634-d581347bd3a0,true,false
daa3ec1c-3c52-46a4-810d-db96124e65a6,ENUM_TYPE,ENUM_PERIODICITY,Periodicity,دوره تناوب,Parent category for دوره تناوب,,true,false
11a09dd7-33f7-45a3-b134-d186b2436a0d,ENUM_TYPE,DAL,Daily,روزانه,each day (with configurable N-day interval),1b05c2c9-4077-4b6b-a613-304fc9d8cc56,true,false
6bba9430-75dd-4d1c-9e16-2430ace0d62e,ENUM_TYPE,WKY,Weekly,هفتگی,each week (with configurable N-week interval),1b05c2c9-4077-4b6b-a613-304fc9d8cc56,true,false
35942c3b-8b5f-4af2-828d-8c60e89c4343,ENUM_TYPE,MTH,Monthly,ماهانه,each month (based on day number or week and day),1b05c2c9-4077-4b6b-a613-304fc9d8cc56,true,false
6e4abd94-fcaf-4782-95ef-b5626f5501f5,ENUM_TYPE,ANN,Annual,سالانه,each year (specific day and month),1b05c2c9-4077-4b6b-a613-304fc9d8cc56,true,false
82c1e394-3a6a-4783-8067-e2b23d9974bd,ENUM_TYPE,ENUM_WEEKDAY,Weekdays,روزهای هفته,Parent category for روزهای هفته,,true,false
818d0488-28a7-49e8-a37d-9d95dc88a9ab,ENUM_TYPE,SAT,Saturday,شنبه,Saturday,d915f2f2-6236-4ad3-b05d-d73be60a550f,true,false
36dd8f95-d547-4034-8340-e61277dbd2ce,ENUM_TYPE,SUN,Sunday,یکشنبه,Sunday,d915f2f2-6236-4ad3-b05d-d73be60a550f,true,false
a8da61cf-d100-4704-b52e-dafea9730f29,ENUM_TYPE,MON,Monday,دوشنبه,Monday,d915f2f2-6236-4ad3-b05d-d73be60a550f,true,false
e6851250-f646-47ee-9f83-362c452d8b91,ENUM_TYPE,TUE,Tuesday,سه‌شنبه,Tuesday,d915f2f2-6236-4ad3-b05d-d73be60a550f,true,false
7056d798-830a-434c-a90e-81180e7d0c81,ENUM_TYPE,WED,Wednesday,چهارشنبه,Wednesday,d915f2f2-6236-4ad3-b05d-d73be60a550f,true,false
5603c68b-59f9-4d54-8ac5-5f60f8f01726,ENUM_TYPE,THU,Thursday,پنج‌شنبه,Thursday,d915f2f2-6236-4ad3-b05d-d73be60a550f,true,false
2550d72d-9bc2-4882-9c68-ceea2586f3af,ENUM_TYPE,FRI,Friday,جمعه,Friday,d915f2f2-6236-4ad3-b05d-d73be60a550f,true,false
ea5459f4-d0f5-4eb6-b044-87ee4ebde89b,ENUM_TYPE,ENUM_DAY_OF_MONTH,Days of Month,روزهای ماه,Parent category for روزهای ماه,,true,false
b66f8cd2-ad45-423e-aa22-b498c935bd93,ENUM_TYPE,D01,Day 1,1,Day 1 of month,59ee16ae-53af-471e-90eb-39d08287f7bb,true,false
